,precision,recall,f1-score,support
accessory,0.02127659574468085,0.03571428571428571,0.02666666666666666,28.0
animal,0.12244897959183673,0.06521739130434782,0.0851063829787234,184.0
appliance,0.047619047619047616,0.11320754716981132,0.0670391061452514,53.0
electronic,0.07142857142857142,0.10714285714285714,0.08571428571428572,28.0
food,0.0410958904109589,0.11320754716981132,0.06030150753768844,53.0
furniture,0.15384615384615385,0.08187134502923976,0.10687022900763359,171.0
indoor,0.030612244897959183,0.07317073170731707,0.04316546762589928,41.0
kitchen,0.0,0.0,0.0,24.0
outdoor,0.0375,0.061224489795918366,0.046511627906976744,49.0
person,0.29878048780487804,0.2413793103448276,0.2670299727520436,406.0
sports,0.025,0.047619047619047616,0.03278688524590165,21.0
unknown,0.0,0.0,0.0,13.0
vehicle,0.16521739130434782,0.09895833333333333,0.12377850162866448,192.0
accuracy,0.13143309580364212,0.13143309580364212,0.13143309580364212,0.13143309580364212
macro avg,0.07806348943449495,0.07990099125621514,0.07269004870844116,1263.0
weighted avg,0.16847201913623377,0.13143309580364212,0.14310936072886293,1263.0
