,precision,recall,f1-score,support
accessory,0.03773584905660377,0.07692307692307693,0.05063291139240506,26.0
animal,0.1509433962264151,0.09467455621301775,0.11636363636363635,169.0
appliance,0.05,0.125,0.07142857142857144,48.0
electronic,0.019230769230769232,0.037037037037037035,0.025316455696202535,27.0
food,0.075,0.1323529411764706,0.09574468085106383,68.0
furniture,0.10909090909090909,0.07272727272727272,0.08727272727272725,165.0
indoor,0.027777777777777776,0.06,0.0379746835443038,50.0
kitchen,0.03225806451612903,0.034482758620689655,0.03333333333333333,29.0
outdoor,0.04597701149425287,0.07142857142857142,0.055944055944055944,56.0
person,0.3557692307692308,0.2795969773299748,0.3131170662905501,397.0
sports,0.06896551724137931,0.08695652173913043,0.07692307692307693,23.0
unknown,0.14285714285714285,0.14285714285714285,0.14285714285714285,14.0
vehicle,0.14049586776859505,0.08900523560209424,0.10897435897435896,191.0
accuracy,0.14726840855106887,0.14726840855106887,0.14726840855106887,0.14726840855106887
macro avg,0.09662319507916961,0.10023400705034449,0.09352943852857142,1263.0
weighted avg,0.181369900606682,0.14726840855106887,0.1590607608070697,1263.0
