,precision,recall,f1-score,support
accessory,0.02040816326530612,0.03225806451612903,0.025,31.0
animal,0.12222222222222222,0.06111111111111111,0.08148148148148149,180.0
appliance,0.017543859649122806,0.038461538461538464,0.024096385542168672,52.0
electronic,0.015384615384615385,0.05263157894736842,0.023809523809523808,19.0
food,0.045454545454545456,0.09523809523809523,0.061538461538461535,63.0
furniture,0.1320754716981132,0.09090909090909091,0.10769230769230768,154.0
indoor,0.031914893617021274,0.061224489795918366,0.04195804195804195,49.0
kitchen,0.0,0.0,0.0,25.0
outdoor,0.01,0.023255813953488372,0.013986013986013986,43.0
person,0.33974358974358976,0.26903553299492383,0.30028328611898014,394.0
sports,0.0,0.0,0.0,18.0
unknown,0.0,0.0,0.0,14.0
vehicle,0.184,0.10407239819004525,0.1329479768786127,221.0
accuracy,0.1330166270783848,0.1330166270783848,0.1330166270783848,0.1330166270783848
macro avg,0.07067287392573356,0.063707516470593,0.06252257530812247,1263.0
weighted avg,0.1770049917708953,0.1330166270783848,0.14881952367947196,1263.0
