,precision,recall,f1-score,support
accessory,0.023255813953488372,0.03571428571428571,0.02816901408450704,28.0
animal,0.14912280701754385,0.1118421052631579,0.12781954887218047,152.0
appliance,0.0392156862745098,0.08163265306122448,0.052980132450331126,49.0
electronic,0.02,0.04,0.02666666666666667,25.0
food,0.07092198581560284,0.19230769230769232,0.10362694300518134,52.0
furniture,0.11926605504587157,0.07471264367816093,0.09187279151943463,174.0
indoor,0.009708737864077669,0.018518518518518517,0.012738853503184712,54.0
kitchen,0.0,0.0,0.0,19.0
outdoor,0.037383177570093455,0.09523809523809523,0.05369127516778523,42.0
person,0.3344262295081967,0.24113475177304963,0.2802197802197802,423.0
sports,0.03571428571428571,0.06666666666666667,0.046511627906976744,15.0
unknown,0.0,0.0,0.0,11.0
vehicle,0.2204724409448819,0.1278538812785388,0.16184971098265896,219.0
accuracy,0.14410134600158353,0.14410134600158353,0.14410134600158353,0.14410134600158353
macro avg,0.08149901690065783,0.08350933026918386,0.07585741110605285,1263.0
weighted avg,0.19204708959811803,0.14410134600158353,0.16031126171283813,1263.0
